type,url,detail,pages,first_seen,confirmed,suggest
dead external link,https://www.ozempic.com/why-ozempic/what-is-ozempic.html?showisi=true&&utm_source=google&utm_medium=cpc&utm_term=ozempic&utm_campaign=1_All_Shared_BR_Branded_Specifics&mkwid=s-dc_pcrid_605526776129_pkw_ozempic_pmt_e_slid__product_&pgrid=141675575207&ptaid=kwd-392229870365&gclid=Cj0KCQjw1aOpBhCOARIsACXYv-e9mucrpL4YWwsuVoS0Bnci4NPKr_eimI_0wJmvcL-wuYXjqUbmkR8aAuZIEALw_wcB&gclsrc=aw.ds,HTTP 404,https://www.bariatriccounselingcenter.com/self-improvement/behavioral-patterns/sustaining-the-impact-of-ozempic-and-other-sema-glutide-injectables-with-behavioral-support/,2026-09-22,True,
unreachable external link,https://doi.org/10.1042/BCJ20160510,HTTP 403,https://www.bariatriccounselingcenter.com/diet-and-nutrition/supplements-and-wellness/probiotics-should-you-be-taking-them/,2026-09-22,True,
dead internal link,https://www.bariatriccounselingcenter.com/2024/04/self-sabotage/,HTTP 404,https://www.bariatriccounselingcenter.com/self-improvement/behavioral-patterns/how-to-identify-self-sabotage-behaviors-part-2/,2026-09-22,True,https://www.bariatriccounselingcenter.com/self-improvement/behavioral-patterns/how-to-identify-self-sabotage-behaviors-part-2/
dead external link,https://doi.org/10.3389/fnut.2022.948,HTTP 404,https://www.bariatriccounselingcenter.com/healthy-living-2/why-late-night-snacking-always-wins-and-why-youre-not-weak-for-it/,2026-09-22,True,
unreachable external link,https://doi.org/10.7326/0003-4819-141-11-200412070-00008,HTTP 403,https://www.bariatriccounselingcenter.com/healthy-living-2/why-late-night-snacking-always-wins-and-why-youre-not-weak-for-it/,2026-09-22,True,
dead external link,https://www.nationaleatingdisorders.org/statistics-research-on-eating-disorders/,HTTP 404,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/binge-eating-in-men-why-40-percent-of-cases-missed/,2026-09-22,True,
image unreachable,https://secure.gravatar.com/avatar/d71c8d25f5219847f1edcc1e696e1ea460b46aff0901655af8fc8bf39c4ad5a4?s=160&d=mm&r=g,ConnectionResetError: [WinError 10054] An existing connection was forcibly closed by the remote host,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/why-stress-eating-happens/,2026-09-22,True,
internal link redirects,https://www.bariatriccounselingcenter.com/blog/understanding-disordered-eating-is-your-eating-a-problem/,-> https://www.bariatriccounselingcenter.com/eating-disorders/understanding-disordered-eating-is-your-eating-a-problem/,https://www.bariatriccounselingcenter.com/eating-disorders/how-to-stop-stress-eating-simple-strategies-to-take-control-of-your-habits/,2026-09-22,True,https://www.bariatriccounselingcenter.com/eating-disorders/understanding-disordered-eating-is-your-eating-a-problem/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/,-> https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/,https://www.bariatriccounselingcenter.com/eating-disorder-iop-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/how-to-overcome-emotional-eating-a-comprehensive-guide/,-> https://www.bariatriccounselingcenter.com/diet-and-nutrition/how-to-overcome-emotional-eating-a-comprehensive-guide/,https://www.bariatriccounselingcenter.com/emotional-eating-therapy-in-san-antonio-tx/ https://www.bariatriccounselingcenter.com/overeating-treatment-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/diet-and-nutrition/how-to-overcome-emotional-eating-a-comprehensive-guide/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/emotional-eating-and-coping-skills/,-> https://www.bariatriccounselingcenter.com/emotional-eating/emotional-eating-and-coping-skills/,https://www.bariatriccounselingcenter.com/emotional-eating-therapy-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/emotional-eating/emotional-eating-and-coping-skills/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/dietitians-or-nutritionists-breaking-down-the-differences/,-> https://www.bariatriccounselingcenter.com/diet-and-nutrition/dietitians-or-nutritionists-breaking-down-the-differences/,https://www.bariatriccounselingcenter.com/ourprogram/meet-with-registered-dieticians/ https://www.bariatriccounselingcenter.com/ourprogram/meet-with-registered-dietitians/ https://www.bariatriccounselingcenter.com/registered-dietitian-in-san-antonio-tx/ https://www.bariatriccounselingcenter.com/stop-the-cycle-of-binge-eating-you-dont-have-to-face-this-alone/,2026-09-22,True,https://www.bariatriccounselingcenter.com/diet-and-nutrition/dietitians-or-nutritionists-breaking-down-the-differences/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/how-do-i-manage-cravings-and-impulse-eating/,-> https://www.bariatriccounselingcenter.com/healthy-living-2/how-do-i-manage-cravings-and-impulse-eating/,https://www.bariatriccounselingcenter.com/food-addiction-treatment-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/healthy-living-2/how-do-i-manage-cravings-and-impulse-eating/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/how-to-stop-stress-eating-simple-strategies-to-take-control-of-your-habits/,-> https://www.bariatriccounselingcenter.com/eating-disorders/how-to-stop-stress-eating-simple-strategies-to-take-control-of-your-habits/,https://www.bariatriccounselingcenter.com/food-addiction-treatment-in-san-antonio-tx/ https://www.bariatriccounselingcenter.com/overeating-treatment-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/eating-disorders/how-to-stop-stress-eating-simple-strategies-to-take-control-of-your-habits/
dead internal link,https://www.bariatriccounselingcenter.com/binge-eating-disorder-treatment-in-san-antonio-tx/,HTTP 404,https://www.bariatriccounselingcenter.com/compulsive-overeating-counseling-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/binge-eating-disorder-treatment-san-antonio/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/sustainable-eating-habits-tips-for-long-term-wellness/,-> https://www.bariatriccounselingcenter.com/diet-and-nutrition/sustainable-eating-habits-tips-for-long-term-wellness/,https://www.bariatriccounselingcenter.com/registered-dietitian-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/diet-and-nutrition/sustainable-eating-habits-tips-for-long-term-wellness/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/sustaining-the-impact-of-ozempic-and-other-sema-glutide-injectables-with-behavioral-support/,-> https://www.bariatriccounselingcenter.com/self-improvement/behavioral-patterns/sustaining-the-impact-of-ozempic-and-other-sema-glutide-injectables-with-behavioral-support/,https://www.bariatriccounselingcenter.com/ourprogram/coordinate-with-medical-providers/,2026-09-22,True,https://www.bariatriccounselingcenter.com/self-improvement/behavioral-patterns/sustaining-the-impact-of-ozempic-and-other-sema-glutide-injectables-with-behavioral-support/
internal link redirects,https://www.bariatriccounselingcenter.com/resources/,-> https://www.bariatriccounselingcenter.com/blog/,https://www.bariatriccounselingcenter.com/ourprogram/bring-a-friend/ https://www.bariatriccounselingcenter.com/ourprogram/coordinate-with-medical-providers/ https://www.bariatriccounselingcenter.com/ourprogram/details/ https://www.bariatriccounselingcenter.com/ourprogram/dine-together/ https://www.bariatriccounselingcenter.com/ourprogram/enjoy-movement/ https://www.bariatriccounselingcenter.com/ourprogram/learn-to-cook-differently/ https://www.bariatriccounselingcenter.com/ourprogram/meet-with-registered-dieticians/ https://www.bariatriccounselingcenter.com/ourprogram/meet-with-registered-dietitians/ https://www.bariatriccounselingcenter.com/ourprogram/practice-in-the-community/ https://www.bariatriccounselingcenter.com/ourprogram/stay-connected/,2026-09-22,True,https://www.bariatriccounselingcenter.com/blog/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/how-psychotherapy-and-mental-health-counseling-support-sustainable-weight-loss/,-> https://www.bariatriccounselingcenter.com/weight-loss-counseling/how-psychotherapy-and-mental-health-counseling-support-sustainable-weight-loss/,https://www.bariatriccounselingcenter.com/weight-loss-therapy-in-san-antonio-tx/ https://www.bariatriccounselingcenter.com/weight-management-therapist-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/weight-loss-counseling/how-psychotherapy-and-mental-health-counseling-support-sustainable-weight-loss/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/how-to-improve-self-esteem-while-losing-weight-the-healthy-way/,-> https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-to-improve-self-esteem-while-losing-weight-the-healthy-way/,https://www.bariatriccounselingcenter.com/weight-management-therapist-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-to-improve-self-esteem-while-losing-weight-the-healthy-way/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/how-do-i-choose-a-weight-loss-program/,-> https://www.bariatriccounselingcenter.com/weight-loss-counseling/how-do-i-choose-a-weight-loss-program/,https://www.bariatriccounselingcenter.com/sara-hamilton-psyd/ https://www.bariatriccounselingcenter.com/weight-management-program-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/weight-loss-counseling/how-do-i-choose-a-weight-loss-program/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/holistic-weight-loss-approach-overcoming-diet-culture-with-mind-and-body-wellness/,-> https://www.bariatriccounselingcenter.com/self-improvement/mental-health/holistic-weight-loss-approach-overcoming-diet-culture-with-mind-and-body-wellness/,https://www.bariatriccounselingcenter.com/weight-loss-therapy-in-san-antonio-tx/ https://www.bariatriccounselingcenter.com/weight-management-program-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/holistic-weight-loss-approach-overcoming-diet-culture-with-mind-and-body-wellness/
dead internal link,https://www.bariatriccounselingcenter.com/blog/sustaining-the-impact-of-ozempic-and-other-semaglutide-injectables-with-behavioral-support/,HTTP 404,https://www.bariatriccounselingcenter.com/weight-loss-therapy-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/self-improvement/behavioral-patterns/sustaining-the-impact-of-ozempic-and-other-sema-glutide-injectables-with-behavioral-support/
dead internal link,https://www.bariatriccounselingcenter.com/blog/binge-eating-disorder-symptoms-causes-effective-treatment/,HTTP 404,https://www.bariatriccounselingcenter.com/binge-eating-treatment-in-san-antonio-tx/,2026-09-22,True,https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/
dead internal link,https://www.bariatriccounselingcenter.com/therapy-for-depression-and-weight-in-san-antonio-tx/,HTTP 404,https://www.bariatriccounselingcenter.com/understanding-anxiety-and-depression-related-to-weight/,2026-09-22,True,https://www.bariatriccounselingcenter.com/therapy-for-depression-and-weight-loss/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/a-new-approach-to-holiday-eating/,-> https://www.bariatriccounselingcenter.com/emotional-eating/a-new-approach-to-holiday-eating/,https://www.bariatriccounselingcenter.com/ourprogram/practice-in-the-community/ https://www.bariatriccounselingcenter.com/sara-hamilton-psyd/,2026-09-22,True,https://www.bariatriccounselingcenter.com/emotional-eating/a-new-approach-to-holiday-eating/
unreachable external link,https://www.sciencedirect.com/science/article/pii/S1043276021002411,HTTP 403,https://www.bariatriccounselingcenter.com/undergoing-or-having-undergone-bariatric-surgery-a-comprehensive-guide-to-psychological-support-and-success/,2026-09-22,True,
unreachable external link,https://www.sciencedirect.com/science/article/pii/S1077722912001113,HTTP 403,https://www.bariatriccounselingcenter.com/undergoing-or-having-undergone-bariatric-surgery-a-comprehensive-guide-to-psychological-support-and-success/,2026-09-22,True,
unreachable external link,https://www.sciencedirect.com/science/article/pii/S0033318220301249,HTTP 403,https://www.bariatriccounselingcenter.com/undergoing-or-having-undergone-bariatric-surgery-a-comprehensive-guide-to-psychological-support-and-success/,2026-09-22,True,
unreachable external link,https://onlinelibrary.wiley.com/doi/epdf/10.1002/oby.22719,HTTP 403,https://www.bariatriccounselingcenter.com/undergoing-or-having-undergone-bariatric-surgery-a-comprehensive-guide-to-psychological-support-and-success/,2026-09-22,True,
unreachable external link,https://www.sciencedirect.com/science/article/pii/S0261561415000709,HTTP 403,https://www.bariatriccounselingcenter.com/undergoing-or-having-undergone-bariatric-surgery-a-comprehensive-guide-to-psychological-support-and-success/,2026-09-22,True,
unreachable external link,https://www.sciencedirect.com/science/article/pii/S0002962915328081,HTTP 403,https://www.bariatriccounselingcenter.com/undergoing-or-having-undergone-bariatric-surgery-a-comprehensive-guide-to-psychological-support-and-success/,2026-09-22,True,
unreachable external link,https://www.sciencedirect.com/science/article/abs/pii/S0899900720301143,HTTP 403,https://www.bariatriccounselingcenter.com/undergoing-or-having-undergone-bariatric-surgery-a-comprehensive-guide-to-psychological-support-and-success/,2026-09-22,True,
unreachable external link,https://www.sciencedirect.com/science/article/pii/S1542356516309880,HTTP 403,https://www.bariatriccounselingcenter.com/undergoing-or-having-undergone-bariatric-surgery-a-comprehensive-guide-to-psychological-support-and-success/,2026-09-22,True,
broken embed or media file,https://www.google.com/maps/embed/v1/place?key=AIzaSyBAM2o7PiQqwk15LC1XRH2e_KJ-jUa7KYk&zoom=11&maptype=roadmap&q=9618+Huebner+Road%2C+Suite+320+San+Antonio%2C+TX+78240++%28210%29+634-2200+phone++%28210%29+634-2201+fax,HTTP 404,https://www.bariatriccounselingcenter.com/contact/,2026-09-22,True,
internal link redirects,https://www.bariatriccounselingcenter.com/blog/probiotics-should-you-be-taking-them/,-> https://www.bariatriccounselingcenter.com/diet-and-nutrition/supplements-and-wellness/probiotics-should-you-be-taking-them/,https://www.bariatriccounselingcenter.com/ourprogram/meet-with-registered-dieticians/ https://www.bariatriccounselingcenter.com/ourprogram/meet-with-registered-dietitians/,2026-09-22,True,https://www.bariatriccounselingcenter.com/diet-and-nutrition/supplements-and-wellness/probiotics-should-you-be-taking-them/
dead internal link,https://www.bariatriccounselingcenter.com/ourprogram/practice-in-the-community-2/,HTTP 404,https://www.bariatriccounselingcenter.com/ourprogram/stay-connected/,2026-09-22,True,https://www.bariatriccounselingcenter.com/ourprogram/practice-in-the-community/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/movement-where-to-start/,-> https://www.bariatriccounselingcenter.com/diet-and-nutrition/healthy-living/movement-where-to-start/,https://www.bariatriccounselingcenter.com/ourprogram/enjoy-movement/,2026-09-22,True,https://www.bariatriccounselingcenter.com/diet-and-nutrition/healthy-living/movement-where-to-start/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/goal-setting-for-weight-loss/,-> https://www.bariatriccounselingcenter.com/self-improvement/weight-loss-journey-self-improvement/goal-setting-for-weight-loss/,https://www.bariatriccounselingcenter.com/real-behavioral-change-starts-with-the-mind/,2026-09-22,True,https://www.bariatriccounselingcenter.com/self-improvement/weight-loss-journey-self-improvement/goal-setting-for-weight-loss/
dead external link,http://bcms.org/SAM/2025/SAMFEb2025/mobile/index.html,HTTP 404,https://www.bariatriccounselingcenter.com/author/chasley-fortunw-pttman/ https://www.bariatriccounselingcenter.com/author/shamilton/,2026-09-22,True,
internal link redirects,https://bariatriccounselingcenter.com/bariatric-therapist-near-me/,-> https://www.bariatriccounselingcenter.com/bariatric-therapist-near-me/,https://bariatriccounselingcenter.com/about,2026-09-24,True,https://www.bariatriccounselingcenter.com/bariatric-therapist-near-me/
image unreachable,https://secure.gravatar.com/avatar/76f9fcfa561d929e6e6601e6242712dcf461be934ff1c84e6006c78692490623?s=80&d=mm&r=g,URLError: <urlopen error [WinError 10054] An existing connection was forcibly closed by th,https://www.bariatriccounselingcenter.com/staff/nancy-albus/,2026-09-24,False,
dead video embed,youtube:LPviMNg7raE,youtube: private,https://bariatriccounselingcenter.com/testimonials https://www.bariatriccounselingcenter.com/testimonials/,2026-09-22,True,
